Text,Intent
"Hi, I recently made a booking with SkyWings for a domestic flight in India. Unfortunately, I need to make a modification to my booking. Can you please assist me with that?","Booking, Modifications And Cancellations"
"Hello, I'm having trouble logging into my SkyWings account. I've tried multiple times, but I keep getting an error message. Can you please help me troubleshoot this issue?",Customer Support
"Hi there, I was wondering if you could help me with the check-in time window for SkyWings airline. I have a flight coming up soon and I'm a bit worried about making it to the check-in desk on time. Is there any flexibility with the check-in time or can I make changes if needed? Thank you in advance for your assistance.",Check-In And Boarding
"Hello, I'm interested in canceling and rebooking my upcoming domestic flight with SkyWings. Can you please guide me on the process and any associated fees or requirements?","Booking, Modifications And Cancellations"
"Hi there! I'm looking to transfer my SkyWings reward points to my sister. Can you please guide me through the process? What documents or information do I need to provide to complete the transfer?
",Loyalty And Rewards
"Hello, I recently booked a domestic flight with SkyWings airline and unfortunately, I was unable to travel due to unforeseen circumstances. I was wondering if there is any possibility of a refund for my booking. Could you please guide me through the refund policy for domestic flight bookings with SkyWings?",Refunds
"Hi there! I'm looking for some information about your airline, SkyWings. Do you offer any special discounts or benefits for students traveling with you?",Other
"Hi there! I'm a music enthusiast and I recently purchased a guitar. I'm excited to start learning, but I'm a bit stuck on some chords. Can you recommend any beginner-friendly resources or tutorials that you would suggest? I'd really appreciate any help you can provide.",Irrelevant
"I recently flew with SkyWings and unfortunately, my baggage was lost. Can you please provide me with more information on how to file a claim for the lost baggage?",Baggage
"I am a passenger on your domestic flight from Mumbai to Bangalore, and I am concerned about my luggage. I have not received any updates on its whereabouts, and I was wondering if you could please provide me with some information on its status. Thank you for your assistance.",Baggage
"Hello, I have a query regarding the flight schedule between Delhi and Mumbai. Are there daily flights available on SkyWings?",Flight Operations
"Hello, I recently booked a flight with SkyWings and unfortunately had to cancel it due to unforeseen circumstances. I was wondering if I am eligible for a partial refund for the partially used flight segment?",Refunds
"Hello, I'm planning a trip to Mumbai and I have a few questions about luggage restrictions. Can you please let me know what kind of items are not allowed in the cabin or checked baggage? Also, are there any specific rules for liquids or gels that I need to follow? Thank you for your help!",Baggage
"Hello, I'm looking for some recommendations for budget laptops. Can you suggest any options that are suitable for my needs?
",Irrelevant
Hi there! I have a question about booking a flight with SkyWings. I'm planning a trip to a nearby city for a few days and I'm wondering if you could help me out. I'm really interested in astrology and I heard that SkyWings has some interesting predictions for the upcoming months. Do you know if they offer any special deals or packages for customers who are interested in astrology? Thank you so much for your time and assistance!,Irrelevant
"Hello, I'm a student writing a report and I was wondering when SkyWings was founded. Can you please provide me with that information?",Other
"Hello, I have a query regarding your airline's meal options. I have a severe food allergy and was wondering if you offer allergen-free meals on your domestic flights. I would appreciate any information you could provide on this matter. Thank you for your help.",Passenger Services
I regret to inform you that I need to cancel my flight with SkyWings. I am interested in rebooking the same flight. Can you please guide me through the process?,"Booking, Modifications And Cancellations"
"Hello, I'm a customer with an inquiry regarding my upcoming domestic flight with SkyWings. I will be traveling with an infant and have some questions about the onboard facilities and seating arrangements. Could you please provide me with information on the following:
1. Are there any special facilities available for passengers traveling with infants, such as a dedicated play area or breastfeeding stations?
2. What are the seating arrangements for passengers traveling with infants? Are there any options for extra legroom",Passenger Services
"Hello, I'm a customer who will be flying with SkyWings soon. I'm interested in knowing if my route is served by a jet or turboprop. Can you please let me know?",Flight Operations
"Hi, I'm interested in booking a domestic flight with SkyWings. Can you please let me know what payment methods are accepted for this booking?
",Fares And Payments
"Hello, I hope this message finds you well. I am facing some issues with my internet connection and was wondering if you could assist me with troubleshooting. I have tried resetting my modem and router, but the problem persists. Could you please guide me on what steps I can take to resolve this issue? Thank you for your help.",Irrelevant
"Hello, I am a SkyWings customer and I have a question about my flight. I was wondering if you could help me understand the fare structure for domestic flights. Specifically, I am interested in the difference between a one-way ticket and a round-trip ticket. Could you please explain this to me in simple terms? I appreciate your assistance. Thank you.",Fares And Payments
Give me some restaurant recommendations in Delhi.,Irrelevant
"Hi, I have a question about upgrading my seat using my SkyWings loyalty points. Can you please guide me through the process?
",Loyalty And Rewards
I'm concerned about the safety measures in place for SkyWings flights. Can you please provide information on the emergency procedures and safety protocols that are followed by your airline to ensure the well-being of passengers in case of an emergency?,Other
"Hello, I recently made a booking with SkyWings for a domestic flight and would like to inquire about the process of modifying or cancelling my booking for a refund. Could you please guide me through the necessary steps?","Booking, Modifications And Cancellations"
"Hello, thank you for contacting SkyWings. How may I assist you today?",Customer Support
Can you please provide me with the steps I need to take to request a full refund for my cancelled domestic flight with SkyWings?,Refunds
"Good afternoon, I was hoping you could guide me through cancelling a flight I have scheduled from Kolkata to Chennai.","Booking, Modifications And Cancellations"
"Hi, I'm planning a trip to India and I'm not sure if I need a passport for domestic flights. Can you please clarify this for me?",Travel Documents
"Hi, I received an email saying my payment has been processed but I haven't received my flight ticket yet.",Fares And Payments
"Hi, I'm having trouble logging in to my SkyWings account on the mobile app. Can you please guide me through the process? I appreciate your help in resolving this issue.",Customer Support
"Hello, I am trying to book a flight with SkyWings airline. Can you please help me with the flight schedule from Delhi to Mumbai?",Flight Operations
"Hello, I recently traveled with SkyWings and unfortunately, my luggage did not arrive. I would like to inquire about the status of my luggage and when I can expect it to be delivered. Could you please provide me with an update on this matter?",Baggage
"Hello, I'm planning a trip to India and would like to book a flight with SkyWings. I have a special medical condition that requires medication during the flight. Do I need to provide special medical approval before booking my flight?",Passenger Services
"Hi, I have a question regarding my upcoming flight with SkyWings. I was wondering if you could please let me know which terminal I will be departing from? Thank you.",Check-In And Boarding
"Hi, I'm sorry to bother you, but I was wondering if you could provide me with the latest scores of the cricket match between India and Australia? I'm a big cricket fan, and I'm hoping to catch up on the results. If there's any delay in getting the scores, could you please let me know? I appreciate your help.
",Irrelevant
"Hello, I'm planning a trip to India and would like to know if SkyWings has any specific rules or restrictions regarding the items I can bring in my luggage. Can you please provide me with some information on this matter?",Baggage
"Hello, I have a query regarding my recent domestic flight booking with SkyWings airline. I would like to confirm if my payment has been processed correctly. Could you please check on this matter for me?
",Fares And Payments
"Hello, I am interested in traveling with SkyWings airline. I was wondering if a handicapped medical certificate can be used as a valid photo ID for domestic flights?",Travel Documents
"Hello, I have a query about my baggage. Can you please help me with that?",Baggage
"Hello, I have a question regarding check-in for my flight with SkyWings. I have a disability photo ID card, and I was wondering if it would be accepted for check-in. Can you please provide me with more information on this? Thank you.",Travel Documents
"Hi there, I have a question regarding my recent flight with SkyWings. I noticed that the flight was only domestic and wondered if you could provide me with some information about which terminal SkyWings operates from. I appreciate your help in resolving this matter.",Check-In And Boarding
"I am interested in booking a flight with SkyWings for my upcoming domestic trip. Are there any current promotions or discounts available for domestic flight bookings? I appreciate your assistance in this matter.
",Fares And Payments
"Hi, I hope you're having a great day! I'm a little concerned about my connecting domestic flight. I was wondering if there's any chance of a delay or if there's a possibility of an earlier departure for my next flight. Thank you so much for your help!",Flight Operations
"Hi there, I was wondering if the flight from Mumbai to Delhi is currently operating? I have a connecting flight in Delhi, and I really hope it's not cancelled. Thank you so much for your help!",Flight Operations
"Hello, I recently booked a flight with SkyWings for a domestic trip and unfortunately, I need to cancel it. Can you please guide me on how long it would take for me to receive a refund after cancelling my flight?",Refunds
"Hello, I recently cancelled my flight with SkyWings and have not received a refund yet. Can you please look into this matter and let me know when I can expect to receive my refund? I understand that there may be some delays or issues with refunds, but I would appreciate an update on the status of my refund as soon as possible. Thank you for your assistance.",Refunds
"Hello, I am planning a trip to India with SkyWings and I would like to modify my travel dates. Could you please guide me on how to do that?","Booking, Modifications And Cancellations"
"Hello, I would like to inquire about the process of transferring my SkyWings reward points to a family member. Can you please guide me on how to do that?",Loyalty And Rewards
"Hi, I have a question regarding my recent booking with SkyWings airline. I was wondering if it's possible to transfer my booking to another person. I understand that SkyWings only operates domestic flights, but I was hoping you could assist me with this.","Booking, Modifications And Cancellations"
"Hello, If I need to make a payment at the airport, what options are available?",Fares And Payments
"Hi, I didn't get a payment confirmation email after my flight booking was done with SkyWings. Can you please check this issue?",Fares And Payments
"Hello, I am a curious customer who is interested in learning about SkyWings' environmental sustainability practices. Can you please provide me with some information on how your airline is working towards reducing its carbon footprint and promoting eco-friendly initiatives?
",Other
Hi there! I have a question about SkyWings airline. I need to know which terminal they operate from for their domestic flights in India. Can you please help me with that?,Check-In And Boarding
"Hello, I am a passenger with a connecting domestic flight. I hope you are doing well. Can you please let me know if there is any possibility of a delay in my connecting flight due to the current weather conditions?",Flight Operations
"Hello, I am a frequent flyer with SkyWings and I am interested in joining your rewards program. Can you please guide me on the steps to enroll in the program?",Loyalty And Rewards
"Hello, I have a question regarding my baggage for my domestic flight with SkyWings. Can you please guide me on the allowed size and weight of musical instruments and sports gear that I can carry on board? Thank you in advance.",Baggage
"Hello, I hope you're doing well. I was wondering if you could please provide me with information on how to apply for a passport. I have a few questions regarding the process, such as the required documents and the estimated time it would take to receive the passport. Thank you for your assistance.",Irrelevant
"Hello, I have a non-refundable ticket with SkyWings for a domestic flight. Can you please let me know if I am eligible for any refund in case of unforeseen circumstances?",Refunds
"Hi, I was wondering if a photo identity card from a private sector organization will work for travel with SkyWings airline. I'm planning a domestic trip and want to ensure that I have all the necessary documents. Thank you!",Travel Documents
"Hello, I would like to inquire about the process for changing my flight with SkyWings. I would appreciate it if you could guide me through the necessary steps.","Booking, Modifications And Cancellations"
"Hello, I would like to inquire about the documents required for check-in. Are there any specific documents that I need to bring along with me?",Check-In And Boarding
"Hi there, I had a domestic flight with SkyWings airline that I missed due to unforeseen circumstances. I was wondering if there's any way I could get a refund for my ticket. Can you please guide me through the process?",Refunds
"Hello, I was wondering if SkyWings has any partnerships or collaborations with local tourism boards in India. I'm planning a trip and would like to explore some off-the-beaten-path destinations. Any information you can provide would be greatly appreciated.
",Other
"Hi there! I'm glad you reached out to us. How can I assist you today? I understand that you are looking to transfer your baggage between connecting flights. Is that correct? I'll be more than happy to guide you through the process. Could you please provide me with your flight details, including the flight numbers and the destinations you are connecting from and to?
",Baggage
"Hello, I would like to know if you have any information about the check-in process for SkyWings airline. Can you please provide me with some details on how to check in for my flight?",Check-In And Boarding
"I'm sorry to bother you, but I seem to have forgotten my SkyWings password. Can you please guide me on how to recover it? I've tried resetting it through the website, but it didn't work. I really need to access my account as soon as possible. Can you help me out with this?",Customer Support
"Hi there, I'm planning a domestic flight with SkyWings and wanted to know if there's an ideal time to arrive at the airport for check-in? It would be great if you could suggest an approximate window for me to arrive so that I can ensure a smooth check-in process. Thank you so much for your help!",Check-In And Boarding
"Hello, I am a traveler with special needs and I have a question about the assistance available during my flight with SkyWings. Could you please provide me with information on how SkyWings caters to passengers with disabilities or medical conditions during their domestic flights? Thank you.",Passenger Services
"Hi, I'm planning a trip with my infant and I'm not sure if we need a birth certificate for domestic flights with SkyWings. Can you please clarify if this is necessary? Thank you.",Travel Documents
"Hi there, I have a question about the fares for SkyWings domestic flights. Can you please clarify the differences between the ticket classes or seating options for domestic flights? I'm a bit confused and would appreciate your help.
",Fares And Payments
"Hello, I hope this message finds you well. I recently flew with SkyWings and I was wondering if I earned any reward points for my recent flight. I would greatly appreciate any information you could provide me with. Thank you so much for your help!
",Loyalty And Rewards
"Hello, I am looking to book a flight from Mumbai to Delhi with SkyWings. Can you please let me know if there are multiple flights per day between these two cities? Thank you in advance for your help.",Flight Operations
Hi there! I hope you're doing well. I was wondering if you have any tips on maintaining a bike? I've been having some issues with my bike lately and I'm not sure what to do. Do you have any advice on how to keep my bike in good condition? Thank you so much for your help!,Irrelevant
"Hi there, I hope you're doing well. I'm planning to travel after my surgery and was wondering if you have any policies regarding medical fitness to fly. Could you please provide me with some information on this matter?",Passenger Services
"I was wondering if there are any additional fees or hidden charges associated with booking a domestic flight with SkyWings airline?
",Fares And Payments
"Hi, I am a foreign national and I am planning to travel on a domestic flight with SkyWings airline. I wanted to confirm if my passport is the only valid ID for travel on domestic flights. Can you please let me know if there are any other documents I need to carry along with my passport? Thank you.",Travel Documents
"Hello, I am having trouble accessing my SkyWings account. I am locked out and need help regaining access. Can you please assist me with this issue? I would appreciate it if you could guide me through the process of resetting my password and accessing my account. Thank you for your help.",Customer Support
"Hello, I have a question regarding cabin baggage for your airline. Can you please provide me with the guidelines for the type and size of baggage that is allowed on your domestic flights in India?",Baggage
"Hello, I am a customer with a query regarding my loyalty account. I recently lost access to it and I would like to know how I can recover it. Could you please guide me through the process? I have been a loyal customer of SkyWings airline for several years and I would appreciate any assistance you can provide. Thank you for your time.",Loyalty And Rewards
"Hello, I am a frequent traveler with SkyWings and I was wondering if you could please provide me with information on when and how to check in for my upcoming domestic flight? Thank you in advance for your help.",Check-In And Boarding
"Hello, I'm having trouble accessing my SkyWings account. Is there a way to reset my password? I've tried entering it multiple times, but it's not working. Can you please guide me through the process? Thank you for your help.",Customer Support
"Hello, I recently redeemed some SkyWings reward points for a domestic flight, but I would like to transfer them to my sister. Could you please guide me on how to do this process? Thank you in advance for your assistance.",Loyalty And Rewards
"Hello, I am an aviation enthusiast and I was wondering if SkyWings offers any workshops or sessions for aspiring pilots. I am particularly interested in learning more about the training programs and requirements for obtaining a pilot's license in India. Thank you for your help!",Other
I recently booked a domestic flight with SkyWings and unfortunately had to cancel due to unforeseen circumstances. I would like to know if the refund will be credited to my original mode of payment. Can you please provide me with the necessary information and process to receive the refund?,Refunds
"Hello, I hope you're doing well. I am a passenger on your SkyWings domestic flight, and I am wondering if you could provide some information regarding the delay of our flight. Could you please let me know the estimated time of arrival and the reason for the delay? Thank you for your assistance.",Flight Operations
"Sure, I'd be happy to help you with that. Can you please tell me which add-on service you are interested in and whether you have any questions or concerns regarding the rewards associated with it?
",Loyalty And Rewards
"Hello, I'm calling to inquire about the necessary documents required for booking a domestic flight with SkyWings. Could you please let me know if a driving license is accepted as a valid form of identification for domestic flights? Thank you for your time.",Travel Documents
"Hello, I'm a customer with a query regarding the check-in time window for your flights. I'm a bit confused about the exact time frame and would appreciate some clarification. Is it possible to know the check-in time window for a particular flight? Thank you for your help.
",Check-In And Boarding
"Hello, I am a frequent flyer with SkyWings and I have a question about the upcoming local elections in my area. Can you please provide me with information on the polling locations and the voting process?",Irrelevant
"Hello, can I make my flight booking payment in installments?",Fares And Payments
"Hello, I am interested in booking a flight with SkyWings airline. Can you please check if you offer non-stop flights between Mumbai and Delhi? I have a tight schedule and I would appreciate it if you can help me find the best option available. Thank you.
",Flight Operations
"Hello, I would like to know the flight timings for a domestic route within India. Can you please provide me with the available options and their corresponding times?
",Flight Operations
"Hi, I have a question about the baggage policy on your airline. I recently traveled with SkyWings and noticed that I was not allowed to bring my laptop in my carry-on bag. Is this a common policy for your airline, or is it just a random rule? I would appreciate any clarification on this matter. Thank you.",Baggage
"Hello, I have a query regarding your airline services. I am trying to lose weight and I was wondering if you have any tips or suggestions for a healthy diet during my flight. Can you please provide me with some information on the types of food and beverages that are offered on your flights and if there are any healthier options available?",Passenger Services
"Hello, I am a customer with a query regarding my upcoming flight with SkyWings airline. Could you please assist me with the check-in process and any additional information I may need? Thank you for your help.",Check-In And Boarding
"Hi, I was wondering if there is any possibility of a partial refund for a flight segment that I have already used. I understand that I can't get a full refund, but I was hoping there might be some flexibility in this situation. Thank you.",Refunds
"Hi there! I'm planning a trip with SkyWings airline and was wondering if there are any cancellation fees for my flight. I'm hoping to have a smooth and hassle-free journey, so any information you can provide would be greatly appreciated. Thank you!","Booking, Modifications And Cancellations"
"Hello, I hope you're doing well. I'm having trouble receiving OTPs from SkyWings to log in. Could you please help me with this issue? I'm not getting any OTPs even though I have an account. I'm not sure if I'm doing something wrong or if there's a problem with the system. I've tried contacting the customer service team multiple times, but I haven't received any response. Could you please guide me on how to",Customer Support
"Hello, I have a question regarding unaccompanied children flying with SkyWings. My child is currently traveling alone, and I was wondering if they are allowed to fly with us. I understand that SkyWings operates only domestic flights, so I was hoping you could clarify this for me.",Passenger Services
"Hi, I'm trying to figure out what happened with my SkyWings flight booking (Mumbai to Bangalore). The money's been deducted, but I haven't gotten my ticket yet. Any assistance would be greatly appreciated.",Fares And Payments
"Hello, I'm sorry to bother you, but I forgot my SkyWings password. Is there any way I can recover it?",Customer Support
"Hello, I am a customer looking to inquire about exclusive offers for SkyWings airline. I was wondering if there are any promotions or discounts available for defense personnel who travel with SkyWings? Thank you for your time.",Other
"Hey, I'm looking for a place to stay in Goa. Can you recommend any hotels that are close to the airport? I'm not really into the fancy stuff, just need something cheap and decent. I don't know much about Goa, so I'm open to suggestions. Can you help me out with this?",Irrelevant
"Hello, I am a customer with a query regarding wheelchair assistance for my upcoming SkyWings flight. Can you please guide me on how to request a wheelchair in advance for my domestic flight? Thank you.",Passenger Services
"Hi there, I have a question about my upcoming flight with SkyWings. I recently booked a domestic flight and I forgot to select a meal while making my reservation. Is it possible to still get food onboard? I would appreciate any assistance you can provide.",Passenger Services
Can I use Netbanking to book my SkyWings flight?,Fares And Payments
Hello! Do you accept HDFC debit card for payments at SkyWings?,Fares And Payments
"Hello, I'm planning to book a domestic flight with SkyWings and I was wondering if there are any additional fees or charges that I should be aware of when making the booking? I want to make sure I have a clear understanding of the costs involved before finalizing my reservation. Thank you for your help.
",Fares And Payments
"Hello, I am a customer with a disability and I would like to know if SkyWings airline accepts disability photo ID cards for check-in. Could you please let me know if this is an option for me? Thank you in advance for your assistance.",Travel Documents
"I'm having trouble with my domestic flight booking. Can you please explain how the payment process works? I want to make sure I have all the necessary information before I proceed.
",Fares And Payments
"Hi, I have a question about carrying some items on my flight. I have a large suitcase and a few other bags, but I'm not sure if I can bring my guitar on board. I have a gig in Delhi tomorrow and I need it for practice. Can you please tell me if I can bring it with me, and if so, what are the requirements and fees?",Baggage
"Hi, I'm planning a domestic flight with SkyWings and I wanted to know what documents I need to bring with me for the flight. Can you please guide me on this?",Travel Documents
"Hi, I'm a customer with a question regarding baggage drop. Can you please guide me on how to drop off my baggage at the airport?",Check-In And Boarding
"I recently paid for a domestic flight with SkyWings and was overcharged. Can you please guide me through the refund process for this overcharged payment?
",Fares And Payments
"Hi there, I have some SkyWings reward points that I'd like to redeem. Could you please guide me through the process? I'm not sure how to go about it, and I was hoping you could help me out. Thank you in advance for your assistance!",Loyalty And Rewards
"Hello, I am a frequent flyer with SkyWings and I appreciate the airline's efforts to maintain cleanliness between flights. Can you please provide some details on how the airline ensures that the aircraft is thoroughly cleaned and sanitized between flights? Thank you for your attention to this matter.",Other
"Hello, I'm looking to book a flight with SkyWings and was wondering if there are daily flights available between Delhi and Mumbai? Thank you.
",Flight Operations
"Hello, I submitted feedback on my recent flight with SkyWings, but I haven't received a response. Could you please check on the status of my feedback and let me know if there have been any updates? Thank you for your help.",Customer Support
"Hello, I was wondering if SkyWings offers any travel insurance options for their domestic flights? I'm interested in making sure I'm covered in case of any unforeseen circumstances during my journey.",Other
"Hello, I have an international flight to Delhi with SkyWings and I was wondering if my Aadhar card can be used as a valid ID for check-in. I have heard that some airlines in India accept it, but I'm not sure if it's the case with SkyWings. Can you please help me with this?",Travel Documents
"I've completed web check-in for my SkyWings domestic flight, but I'm not sure where I can drop off my baggage. Can you please provide me with the information on baggage drop locations?",Check-In And Boarding
"Hello, I am planning a trip and I wanted to know if SkyWings is operating flights on national holidays. Can you please provide me with the information I need?",Other
"Hello, I am looking to inquire about SkyWings' corporate social responsibility initiatives. Can you provide me with any information on the company's efforts to support local communities and the environment? I am particularly interested in any initiatives related to sustainable practices and community development. Thank you.
",Other
"Hi, I am planning a domestic trip with SkyWings and I have a question regarding excess baggage. Can you please provide me with the information on the baggage policy and any additional fees for exceeding the weight limit?",Baggage
"Hello, I have a question about my recent flight with SkyWings. I purchased a non-refundable ticket for a domestic flight and unfortunately, I had to cancel it due to unforeseen circumstances. I was wondering if there are any special cases where I may be able to receive a refund for my ticket. Thank you for your help.",Refunds
"Hi, I need a little help with the cancellation procedure for a flight I have booked from Lucknow to Chennai. I'm not very familiar with online cancellations.","Booking, Modifications And Cancellations"
"Hello, I have a query regarding my recent purchase from SkyWings. I purchased a non-refundable ticket for a domestic flight, but unfortunately, the flight was canceled last minute due to unforeseen circumstances. I was wondering if there are any special cases or exceptions that could allow me to get a refund for my ticket. I understand that SkyWings is an Indian airline and I am aware that they operate only domestic flights. However, I would appreciate it if you could",Refunds
"Hi, I'm a fresher and I'm looking to create a resume. Can you guide me on how to go about it?",Irrelevant
"Hello, I have a question regarding travel with SkyWings. Is it possible to travel with a photo identity card issued by my employer? We will be traveling within India, and I was wondering if this would be acceptable. Thank you for your assistance.",Travel Documents
Hi there! I'm a curious traveler looking to book a flight with SkyWings. I'm interested in learning more about your airline's environmental sustainability practices. Can you provide me with some information on the measures SkyWings has taken to reduce its carbon footprint and promote eco-friendly travel? I appreciate your time and assistance. Thank you!,Other
"Hey, I'm planning a trip to Mumbai and I was wondering if you have any suggestions on which movies I should watch while waiting for my flight. I heard there are some great cinemas there, but I'm not really into Bollywood. Do you have any recommendations for indie or foreign films that I might enjoy?",Irrelevant
"Hello, I have a query regarding my baggage. I recently traveled with SkyWings and was disappointed to find that my luggage was damaged upon arrival. The items inside were broken and unusable. Can you please advise me on how to file a claim for the damages?",Baggage
"Hello, I recently cancelled a flight with SkyWings for an upcoming domestic trip, but I haven't received a refund yet. Can you please look into this matter and let me know the status of my refund? I appreciate your assistance in resolving this issue as soon as possible. Thank you.",Refunds
"Hello, do you have differeing fares at SkyWings for different seats on the flight?",Fares And Payments
"Hello, I am a customer with a query regarding the check-in time window for your domestic flights in India. Could you please provide me with some information on the latest updates regarding the check-in time and any changes that may have been made? Thank you in advance for your assistance.",Check-In And Boarding
"Hi there, I'm a customer from India and I have a question regarding meal accommodations during my flight with SkyWings. I'm fasting for religious reasons and was wondering if there are any special meal options available for me. Can you please provide me with some information on this matter? Thank you for your assistance.",Passenger Services
"Hello, I am planning to travel with SkyWings after my surgery. Can you please provide me with information on your policy regarding medical fitness to fly? I would appreciate any guidance or assistance you can offer.
",Passenger Services
"Hello, I have a query regarding my upcoming flight with SkyWings. I would like to know if there are any changes or cancellations in my booking. Can you please assist me with this matter?","Booking, Modifications And Cancellations"
"Hello, I am a SkyWings loyalty member and I would like to know more about the benefits of being a member. Can you please provide me with information on the exclusive perks and discounts available to SkyWings loyalty members?",Loyalty And Rewards
"Hey there, I'm in need of some assistance with my laptop. I'm looking for a budget laptop that's good for gaming. Do you have any recommendations that would work well for me?
",Irrelevant
Hi there! I was wondering if you could provide some information about baggage transfer for domestic flights with SkyWings. Is there a specific process or form that I need to fill out? Thank you!,Baggage
Hi there! I was just wondering if SkyWings has any partnerships with sports teams or events in India. I'm a big sports fan and it would be great to see some of my favorite teams represented on the flights. Thanks!,Other
"Hello, I'm a customer who will be flying with SkyWings soon. I'm a bit confused about where I should go at the airport. Can you please help me with the terminal info?",Check-In And Boarding
"Hello, can you tell me what all currencies are acceptable at SkyWings?",Fares And Payments
"Hi, I have a query about the rewards program for SkyWings. Can you please let me know if I earn any rewards on add-on services like meals, baggage, and seat selection? I'm not sure about the policies and it would be great if you could clarify it for me.",Loyalty And Rewards
"Hello, I have a question regarding your flight services. Can you please tell me if there are daily flights between the cities of Mumbai and Delhi on your airline? I am planning a trip and would like to know the availability of your domestic flights. Thank you for your time and assistance.",Flight Operations
"Hello, I am a customer who is planning to travel with SkyWings airline for a domestic flight. I have a question regarding the documentation required for an infant traveling. Do I need a birth certificate for my baby? Thank you for your assistance.",Travel Documents
"I've been trying to log in to my SkyWings account using the OTP sent to my registered mobile number, but I haven't received any. Can you please check if there's an issue with my account and provide me with a solution? I'm finding it frustrating to not be able to log in and access my flight details.",Customer Support
"Hello, I'm a passenger with SkyWings airline and I'm traveling from Delhi to Mumbai. I have a connecting flight in Bangalore and I would like to know if it's possible to transfer my baggage between these flights. I have a few heavy suitcases and a backpack, and I would appreciate it if you could assist me with this.",Baggage
"I'm sorry to bother you, but I have a query regarding my recent flight with SkyWings. I would like to know if the refund for my ticket will be credited to my original mode of payment. Can you please provide me with the necessary information to clarify my doubts?",Refunds
"Hi, I recently made an order on Amazon, but I need to cancel it. Can you please guide me on how to proceed with the cancellation process?",Irrelevant
"Hello, I'm planning a trip with SkyWings and I was wondering if a nationalized bank passbook would be accepted as valid ID for travel. Can you please let me know? Thank you!",Travel Documents
"Hi there! I just wanted to confirm if my recent flight with SkyWings airline earned me any reward points. I'm really excited to earn some points and would love to know how I can redeem them. Can you please help me with this?
",Loyalty And Rewards
"Hello, I am a customer of SkyWings airline and I was wondering if onboard entertainment is available for domestic flights. Thank you for your assistance.",Passenger Services
"Hi, I'm interested in booking a domestic flight with SkyWings. Could you please provide me with information on the payment options available for these flights?
",Fares And Payments
"Hi, I recently booked a domestic flight with SkyWings and unfortunately, it was cancelled due to unforeseen circumstances. Can you please let me know how long it will take for me to receive a refund for my ticket?",Refunds
"Hi there, I have a concern about the food options available on your flights. Can you please let me know if SkyWings offers any meals that cater to customers with food allergies? I have a severe allergy to nuts and would appreciate it if the airline could provide me with more information on this matter. Thank you for your help.",Passenger Services
I have a health condition that requires medical clearance. Can you please advise me on the documentation I need to travel with SkyWings? I have never traveled with a health condition before and I'm not sure what is required. Thank you for your assistance.,Passenger Services
"Hello, I have a question regarding your baggage policy. I'm traveling with two suitcases and a carry-on bag. Can you please let me know if there are any additional fees or restrictions for these items?",Baggage
Hello! Thank you for contacting SkyWings. I'm here to assist you with resetting your password. Could you please provide me with your email address associated with your account? This will help me locate your account and reset the password for you.,Customer Support
"Hi, I have a question regarding airport check-in procedures. Can you please guide me on what documents and identification I need to carry with me while checking in at the airport? Also, could you tell me if there is a specific time window for check-in, and if so, what time it is? I appreciate your help. Thank you.",Check-In And Boarding
"Hi, I have a question regarding your airline's environmental sustainability practices. I'm interested to know what measures SkyWings is taking to reduce its carbon footprint and promote eco-friendly practices.",Other
Hi there! I'm planning a trip with SkyWings and I was wondering if there are any cancellation charges before a refund is issued. Can you please let me know? Thank you!,"Booking, Modifications And Cancellations"
"Hello, I have a question regarding the baggage rules for your airline. Can you please let me know what the maximum weight limit is for checked baggage on domestic flights? Also, I have a complaint about the condition of my luggage when I arrived at my destination. Can you please assist me with this issue?
",Baggage
"Hello, I have a question regarding my upcoming domestic flight with SkyWings. I'm a bit confused about which aircraft will be used for my route. Could you please provide me with the specific details? Thank you for your assistance.",Flight Operations
"Hi, I'm calling to inquire about the check-in process for SkyWings domestic flights. I have a disability photo ID card, and I was wondering if it would be accepted for check-in. Can you please provide me with more information on this? Thank you.",Travel Documents
"Hello, I have a query regarding the carry-on baggage policy for medical reasons. Can I bring an oxygen cylinder onboard for my medical condition?",Passenger Services
"Hello, I recently had to cancel a domestic flight with SkyWings airline and I was wondering if you could provide information about the refund timeline for cancelled domestic flights. Thank you.",Refunds
"Urgent help needed! I booked a SkyWings flight (Mumbai to Bangalore), and although my payment was processed, I haven't received my ticket. What should I do?",Fares And Payments
I'm concerned about the potential delay of my connecting domestic flight with SkyWings. Can you provide me with more information on the current status and any possible solutions?,Flight Operations
"Hi there! I'm sorry to hear that your domestic flight with SkyWings was cancelled. Could you please let me know what the status of your refund is, and how soon you would like to receive it?",Refunds
"Hello, I recently cancelled my flight with SkyWings and received a message stating that my refund is under process. Can you please provide me with an update on the status of my refund? Thank you.",Refunds
"Hi, I'm planning to travel with my children on a domestic flight with SkyWings. I was wondering if my school ID will work as a photo ID for my kids. Could you please let me know if this is possible?",Travel Documents
"Hello, I have a question regarding my upcoming flight with SkyWings. Is there a possibility for me to upgrade my seat to first class? Thank you for your help.",Check-In And Boarding
"Hello, I am having trouble accessing my SkyWings account. I have tried multiple times but keep getting an error message. Could you please help me reset my password? Thank you for your assistance.",Customer Support
